#SampleID	habitat_depth_level2	anat_hab	sample_type	anatomical_location	spatial_region	anat_space_combine	habitat_depth_level3
13414.76.hg.R1.fastq.gz	mesopelagic and benthopelagic	meso_benthopelagic_hindgut	hindgut	internal	open ocean	open ocean/internal	meso_benthopelagic
13414.76.midgut.R1.fastq.gz	mesopelagic and benthopelagic	meso_benthopelagic_midgut	midgut	internal	open ocean	open ocean/internal	meso_benthopelagic
13414.76.skin.R1.fastq.gz	mesopelagic and benthopelagic	meso_benthopelagic_skin	skin	external	open ocean	open ocean/external	meso_benthopelagic
13414.77.gill.R1.fastq.gz	mesopelagic	meso_benthopelagic_gill	gill	external	open ocean	open ocean/external	meso_benthopelagic
13414.77.hg.R1.fastq.gz	mesopelagic	meso_benthopelagic_hindgut	hindgut	internal	open ocean	open ocean/internal	meso_benthopelagic
13414.77.midgut.R1.fastq.gz	mesopelagic	meso_benthopelagic_midgut	midgut	internal	open ocean	open ocean/internal	meso_benthopelagic
13414.77.skin.R1.fastq.gz	mesopelagic	meso_benthopelagic_skin	skin	external	open ocean	open ocean/external	meso_benthopelagic
13414.78.gill.R1.fastq.gz	abyssalpelagic	abyssalpelagic_gill	gill	external	open ocean	open ocean/external	abyssalpelagic
13414.78.midgut.R1.fastq.gz	abyssalpelagic	abyssalpelagic_midgut	midgut	internal	open ocean	open ocean/internal	abyssalpelagic
13414.78.skin.R1.fastq.gz	abyssalpelagic	abyssalpelagic_skin	skin	external	open ocean	open ocean/external	abyssalpelagic
13414.79.gill.R1.fastq.gz	neritic	neritic_gill	gill	external	coastal	coastal/external	neritic
13414.79.hg.R1.fastq.gz	neritic	neritic_hindgut	hindgut	internal	coastal	coastal/internal	neritic
13414.79.midgut.R1.fastq.gz	neritic	neritic_midgut	midgut	internal	coastal	coastal/internal	neritic
13414.79.skin.R1.fastq.gz	neritic	neritic_skin	skin	external	coastal	coastal/external	neritic
13414.8.gill.R1.fastq.gz	neritic	neritic_gill	gill	external	coastal	coastal/external	neritic
13414.8.hg.R1.fastq.gz	neritic	neritic_hindgut	hindgut	internal	coastal	coastal/internal	neritic
13414.8.midgut.R1.fastq.gz	neritic	neritic_midgut	midgut	internal	coastal	coastal/internal	neritic
13414.8.skin.R1.fastq.gz	neritic	neritic_skin	skin	external	coastal	coastal/external	neritic
13414.80.gill.R1.fastq.gz	neritic	neritic_gill	gill	external	coastal	coastal/external	neritic
13414.80.hg.R1.fastq.gz	neritic	neritic_hindgut	hindgut	internal	coastal	coastal/internal	neritic
13414.80.midgut.R1.fastq.gz	neritic	neritic_midgut	midgut	internal	coastal	coastal/internal	neritic
13414.80.skin.R1.fastq.gz	neritic	neritic_skin	skin	external	coastal	coastal/external	neritic
13414.82.gill.R1.fastq.gz	mesopelagic and benthopelagic	meso_benthopelagic_gill	gill	external	open ocean	open ocean/external	meso_benthopelagic
13414.82.hg.R1.fastq.gz	mesopelagic and benthopelagic	meso_benthopelagic_hindgut	hindgut	internal	open ocean	open ocean/internal	meso_benthopelagic
13414.82.midgut.R1.fastq.gz	mesopelagic and benthopelagic	meso_benthopelagic_midgut	midgut	internal	open ocean	open ocean/internal	meso_benthopelagic
13414.82.skin.R1.fastq.gz	mesopelagic and benthopelagic	meso_benthopelagic_skin	skin	external	open ocean	open ocean/external	meso_benthopelagic
13414.83.gill.R1.fastq.gz	bathypelagic	bathypelagic_gill	gill	external	open ocean	open ocean/external	bathypelagic
13414.83.hg.R1.fastq.gz	bathypelagic	bathypelagic_hindgut	hindgut	internal	open ocean	open ocean/internal	bathypelagic
13414.83.midgut.R1.fastq.gz	bathypelagic	bathypelagic_midgut	midgut	internal	open ocean	open ocean/internal	bathypelagic
